id,session_id,conversation_metadata.total_messages,conversation_metadata.completion_reason,conversation_metadata.conversation_duration_seconds,total_messages,last_updated,created_at,updated_at
69,sess_b7d93123,14,in_progress,,14,2025-09-04T22:28:51.044Z,2025-09-04T22:28:51.044Z,2025-09-04T22:28:51.044Z
70,sess_bc48206b,6,in_progress,,6,2025-09-04T05:39:14.625Z,2025-09-04T05:39:14.625Z,2025-09-04T05:39:14.625Z
71,sess_bc9bb0b6,12,in_progress,,12,2025-09-03T03:16:58.783Z,2025-09-03T03:16:58.783Z,2025-09-03T03:16:58.783Z
72,sess_c4738339,4,in_progress,,4,2025-09-02T00:21:54.591Z,2025-09-02T00:21:54.591Z,2025-09-02T00:21:54.591Z
73,sess_c74c36ef,4,in_progress,,4,2025-08-28T00:49:28.732Z,2025-08-28T00:49:28.732Z,2025-08-28T00:49:28.732Z
74,sess_c87febdb,2,in_progress,,2,2025-08-29T06:25:16.308Z,2025-08-29T06:25:16.308Z,2025-08-29T06:25:16.308Z
75,sess_c8cf2ecf,4,in_progress,,4,2025-09-17T04:34:57.482Z,2025-09-17T04:34:57.482Z,2025-09-17T04:34:57.482Z
76,sess_cdf159d7,4,in_progress,,4,2025-09-05T04:24:16.374Z,2025-09-05T04:24:16.374Z,2025-09-05T04:24:16.374Z
77,sess_conv-175,1,in_progress,,1,2025-09-04T05:15:22.660Z,2025-09-04T05:15:22.660Z,2025-09-04T05:15:22.660Z
78,sess_conv-175,3,in_progress,,3,2025-09-04T05:17:50.560Z,2025-09-04T05:17:50.560Z,2025-09-04T05:17:50.560Z
79,sess_conv-175,17,in_progress,,17,2025-09-04T05:21:37.866Z,2025-09-04T05:21:37.866Z,2025-09-04T05:21:37.866Z
80,sess_d17da061,10,in_progress,,10,2025-09-01T04:39:55.951Z,2025-09-01T04:39:55.951Z,2025-09-01T04:39:55.951Z
81,sess_d297b37b,4,in_progress,,4,2025-09-16T00:54:13.232Z,2025-09-16T00:54:13.232Z,2025-09-16T00:54:13.232Z
82,sess_dbcaca83,4,in_progress,,4,2025-08-28T00:59:37.180Z,2025-08-28T00:59:37.180Z,2025-08-28T00:59:37.180Z
83,sess_e0393dbe,2,in_progress,,2,2025-08-29T06:32:40.624Z,2025-08-29T06:32:40.624Z,2025-08-29T06:32:40.624Z
84,sess_e37e3189,2,in_progress,,2,2025-09-04T22:45:57.237Z,2025-09-04T22:45:57.237Z,2025-09-04T22:45:57.237Z
85,sess_e39f635f,4,in_progress,,4,2025-09-30T03:10:27.229Z,2025-09-30T03:10:27.229Z,2025-09-30T03:10:27.229Z
86,sess_e82b7c20,4,in_progress,,4,2025-09-17T00:34:11.359Z,2025-09-17T00:34:11.359Z,2025-09-17T00:34:11.359Z
87,sess_e876823d,2,in_progress,,2,2025-09-30T02:27:52.462Z,2025-09-30T02:27:52.462Z,2025-09-30T02:27:52.462Z
88,sess_ebb3ea02,4,in_progress,,4,2025-09-05T04:53:06.194Z,2025-09-05T04:53:06.194Z,2025-09-05T04:53:06.194Z
89,sess_ed553329,24,in_progress,,24,2025-09-03T04:09:46.191Z,2025-09-03T04:09:46.191Z,2025-09-03T04:09:46.191Z
90,sess_f5f08f50,18,in_progress,,18,2025-08-29T05:44:49.159Z,2025-08-29T05:44:49.159Z,2025-08-29T05:44:49.159Z
91,sess_f90338ee,2,in_progress,,2,2025-09-05T01:51:35.077Z,2025-09-05T01:51:35.077Z,2025-09-05T01:51:35.077Z
92,sess_fadf4063,4,in_progress,,4,2025-09-17T04:13:51.554Z,2025-09-17T04:13:51.554Z,2025-09-17T04:13:51.554Z
93,sess_ff58c2a0,4,in_progress,,4,2025-09-16T04:06:32.633Z,2025-09-16T04:06:32.633Z,2025-09-16T04:06:32.633Z
